"Nom / Raison sociale","Commune","Code postal","Paiements directs aux agriculteurs (Feaga)","Autres paiements Feaga","Paiements Feader (hors pr�ts bonifi�s)","Paiements pr�ts bonifi�s (Feader)","Montant total"
"AFIDOL","AIX EN PROVENCE",13626,0,579687.45,0,0,579687.45
"AGCE FR DEVELOP PROMOTION AGRICUL BIO","MONTREUIL SOUS BOIS",93100,0,456496.46,0,0,456496.46
"AGRIAL","CAEN",14000,3602.71,2736618.59,0,0,2740221.3
"AGRIFREEZ","ESQUELBECQ",59470,0,0,694133.7,0,694133.7
"AGRITRADE","CERGY PONTOISE CEDEX",95031,0,662433.47,0,0,662433.47
"ALAZARD ET ROUX SA","TARASCON",13150,0,0,419646.6,0,419646.6
"ALIMAC","MACOURIA",97355,0,1070989.6,0,0,1070989.6
"AMIV","LAMENTIN",97232,0,4336178.74,0,0,4336178.74
"ARDECHE DROME NUMERIQUE","VALENCE CEDEX 9",26958,0,0,1591125.16,0,1591125.16
"ARIBEV","SAINT DENIS CEDEX",97461,0,8830944.21,0,0,8830944.21
"ARIV","SAINT DENIS CEDEX",97461,0,3972106.03,0,0,3972106.03
"ARMEFLHOR","SAINT PIERRE",97410,0,0,1003388.18,0,1003388.18
"ASA DES PLANTEURS DE BASSE-POINTE ET MACOUBA","BASSE POINTE",97218,0,0,873990.62,0,873990.62
"ASP DELEGATION DE MAYOTTE","LIMOGES",87000,0,0,1330255.58,0,1330255.58
"ASS INTERPROF DES FRUITS & LEGUMES FRAIS","PARIS 10",75010,0,1101297.63,0,0,1101297.63
"ASSOC SAUVEGARDE SUCRERIE DE FRANCIERES","FRANCIERES",60190,0,488072.67,0,0,488072.67
"ASSOCIATION DEVELOPPEMENT RURAL REUNION","SAINT CLOTILDE",97490,0,0,1381465.8,0,1381465.8
"ASSOCIATION ORG. DE PRODUCTEURS DE LEGUMES D'INDUSTRIE - AOPLI","ESTREES MONS",80200,0,758430.9,0,0,758430.9
"BAGATELLE SARL","GROS MORNE",97213,2023949.42,0,0,0,2023949.42
"BAN HACKAERT SARL","BASSE POINTE",97218,824118.98,0,0,0,824118.98
"BAN UNION SAINTE MARIE SARL","LAMENTIN",97232,422686.24,0,0,0,422686.24
"BANANES DU MALGRE TOUT SARL","TRINITE",97220,1103721.95,0,0,0,1103721.95
"BARTON & GUESTIER","BLANQUEFORT",33290,0,1130281.03,0,0,1130281.03
"BEAUREGARD SARL","CARBET",97221,782281.74,0,0,0,782281.74
"BELLESPERANCE SARL","SAINT MARIE",97230,643410.98,0,0,0,643410.98
"BELLEVUE SAINTE-MARIE SARL","SAINT MARIE",97230,920134.03,0,0,0,920134.03
"BOCHET SARL","LAMENTIN",97232,1285788.18,0,0,0,1285788.18
"BOIS QUARRE","LAMENTIN",97232,3816.76,0,432321.99,0,436138.75
"BOURGOGNE ALCOOLS","MACON CEDEX 9",71040,0,1002949.14,0,0,1002949.14
"BOURGOGNES ET DOMAINES MICHEL PICARD","CHAGNY",71150,0,1006634.46,0,0,1006634.46
"BOYER SA","MOISSAC",82200,0,1050367.14,0,0,1050367.14
"BUREAU INTERPROF.DES VINS DE BOURGOGNE","BEAUNE",21200,0,1335867.26,0,0,1335867.26
"CADRALBRET","NERAC",47600,0,544792.36,182197.13,0,726989.49
"CAFSA","BORDEAUX",33029,0,0,1894845.63,0,1894845.63
"CALIRA","MARTAINNEVILLE",80140,-33726.27,660788.3,0,0,627062.03
"CAPEXO","RUNGIS CEDEX",94538,0,397666.14,0,0,397666.14
"CAPOTE SARL","BASSE POINTE",97218,1573411.66,0,0,0,1573411.66
"CARA?BES MELONNIERS","MOULE",97160,0,635603.94,66750,0,702353.94
"CARAIBES MELONNIERS (MAR)","SAINT ANNE",97227,0,503895.02,0,0,503895.02
"CASTEL FRERES","BLANQUEFORT",33290,0,1620379.36,0,0,1620379.36
"CAVE DE MONBAZILLAC","MONBAZILLAC",24240,0,436819.31,0,0,436819.31
"CAVE DES HAUTS DE GIRONDE-LES VIGNERONS DE TUTIAC","MARCILLAC",33860,0,571867.92,471060.25,0,1042928.17
"CAVE DES PRODUCTEURS DE VOUVRAY","VOUVRAY",37210,0,617401.69,0,0,617401.69
"CAVE DU RAZES","ROUTIER",11240,0,538172.27,0,0,538172.27
"CAVE VINICOLE DE TURCKHEIM","TURCKHEIM",68230,0,921859.18,0,0,921859.18
"CELC-MASTERS OF LINEN","PARIS 1",75001,0,552659.27,0,0,552659.27
"CENTRALE LINIERE CAUCHOISE","BAONS LE COMTE",76190,0,895001.07,0,0,895001.07
"CENTRE NAT INTERPRO ECONOMIE LAITIERE","PARIS 9",75009,0,3617348.4,0,0,3617348.4
"CG VAL DE LOIRE","VERTOU",44120,0,1500119.85,0,0,1500119.85
"CHAMBRE AGRICULTURE GIRONDE","BORDEAUX CEDEX",33082,0,0,453317.06,0,453317.06
"CHAMBRE AGRICULTURE PYRENEES ATLANTIQUES","PAU CEDEX",64078,0,0,662636.81,0,662636.81
"CHAMBRE D AGRICULTURE","SAINT DENIS",97400,0,0,5109043.13,0,5109043.13
"CHAMBRE D AGRICULTURE DE DORDOGNE","COULOUNIEIX CHAMIERS",24660,0,0,384660.05,0,384660.05
"CHAMBRE D'AGRICULTURE","LAMENTIN CEDEX 2",97286,0,0,631045.75,0,631045.75
"CHAMBRE D'AGRICULTURE DE LA SOMME","AMIENS CEDEX 3",80096,0,396774.24,24016,0,420790.24
"CHAMBRE D'AGRICULTURE DE L'AVEYRON","RODEZ CEDEX 9",12026,0,0,616984.94,0,616984.94
"CHAMPAGNE BILLECART-SALMON","MAREUIL SUR AY",51160,0,1591537.8,0,0,1591537.8
"CHAMPAGNE MANUEL JANISSON","VERZENAY",51360,0,473366.18,0,0,473366.18
"CHENEAUX SARL","MACOUBA",97218,651102.95,0,0,0,651102.95
"CHOISY SARL","SAINT JOSEPH",97212,649534.91,0,0,0,649534.91
"CILAM","SAINT DENIS CEDEX",97465,0,365829.2,355775.66,0,721604.86
"CIRAD","CAPESTERRE BELLE EAU",97130,0,0,401853.39,0,401853.39
"CIRAD","LAMENTIN CEDEX 2",97285,0,0,1014126.57,0,1014126.57
"CIRAD CA","SAINT DENIS CEDEX",97478,1780.97,0,2703637.82,0,2705418.79
"COGEDAL","SAINT PIERRE CEDEX",97455,0,1151587.86,0,0,1151587.86
"COMITE INTERPROFESSIONNEL VIN D'ALSACE","COLMAR",68000,0,674934.42,0,0,674934.42
"COMITE REGIONAL POUR LA RECONVERSION QUALITATIVE DIFFEREE DU VIGNOBLE","LATTES",34875,0,31387814.58,0,0,31387814.58
"COMMUNAUTE DE COM DU NAUCELLOIS","NAUCELLE",12800,0,0,746000,0,746000
"COMMUNAUTE DE COMMUNE DU ROUMOIS NORD","BOURG ACHARD",27310,0,35.71,630000,0,630035.71
"COMMUNAUTE DE COMMUNES DE L'OUESAINT GUYANAIS","JAVOUHEY",97318,0,0,778971.56,0,778971.56
