"LOCATION","Pays","SUBJECT","Sujet","MEASURE","Mesure","FREQUENCY","Fréquence","TIME","Temps","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australie","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2012-Q2","T2-2012","PC","Pourcentage","0","unité",,,66.58665,,
"AUS","Australie","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2012-Q3","T3-2012","PC","Pourcentage","0","unité",,,66.62567,,
"AUS","Australie","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2012-Q4","T4-2012","PC","Pourcentage","0","unité",,,66.45707,,
"AUS","Australie","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2013-Q1","T1-2013","PC","Pourcentage","0","unité",,,66.6095,,
"AUS","Australie","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2013-Q2","T2-2013","PC","Pourcentage","0","unité",,,66.5164,,
"AUS","Australie","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2013-Q3","T3-2013","PC","Pourcentage","0","unité",,,66.30554,,
"AUS","Australie","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2013-Q4","T4-2013","PC","Pourcentage","0","unité",,,66.2253,,
"AUS","Australie","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2014-Q1","T1-2014","PC","Pourcentage","0","unité",,,66.04665,,
"AUS","Australie","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2014-Q2","T2-2014","PC","Pourcentage","0","unité",,,66.12729,,
"AUS","Australie","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2014-Q3","T3-2014","PC","Pourcentage","0","unité",,,66.08756,,
